"estrato";"talhao";"area";"distkm";"parcela";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1"
573116;153;71,24;331,57;260;26,64;1360;1320;7,44;8,61;10,76;6,08;20,43;24,91;24,3036720520958;8,85045368654327;11,1510832192153;13,7114869057148;16,5306195700153;19,6075396903255
573116;138;151,68;64,44;238;26,68;1680;1660;8,91;13,07;13,56;10,53;51,28;62,53;27,3244277293913;8,86717673054323;11,1695298227458;13,7312840212307;16,5513412708964;19,6287126140269
573116;162;139,98;116,48;271;27,17;1503,13;1503,13;7,53;9,8;10,52;6,8;24,81;31,22;23,75013110049;9,07117644457652;11,3942090874264;13,9720812650236;16,8030713740663;19,8856326146114
573116;201;70,74;343,56;333;27,43;1420;1380;8,48;10,6;11,22;7,85;30,29;37,97;24,4210787122688;9,17877386709462;11,5124598269529;14,0985720839025;16,9350758378195;20,0201451881669
573116;172;150,67;189,84;285;27,69;1621,18;1621,18;9,68;13,57;13,84;11,98;60,94;74,56;27,1088056630612;9,28591979864325;11,6300431186914;14,2241853032252;17,066010154235;20,1534239069567
573116;169;163,72;69,56;280;27,73;1584,49;1690,13;8,07;11,17;11,86;8,81;37,32;46,35;24,9848463209086;9,30236359878987;11,648073767173;14,2434329790063;17,0860596931217;20,1738199093791
573116;168;39,14;303,91;279;27,86;1534,02;1636,28;9,23;12,93;13,8;11,18;54,73;67,19;26,9847076734164;9,35573178360895;11,7065647771092;14,3058459660516;17,1510483032412;20,2399087867265
573116;200;35,93;188,49;331;27,86;1481,02;1458,92;8,1;11,43;11,28;7,79;32,68;40,62;24,271963362123;9,35573178360895;11,7065647771092;14,3058459660516;17,1510483032412;20,2399087867265
573116;205;169,41;84,09;338;28,32;1436,81;1458,92;10,13;13,4;14;11,91;61,58;76,12;26,9673806796599;9,54365986302296;11,9122035519596;14,5249603054007;17,3789105167062;20,4713558165261
573116;205;169,41;84,09;339;28,32;1414,71;1326,29;11,5;14,26;15,12;13,82;74;91,4;28,0929257017334;9,54365986302296;11,9122035519596;14,5249603054007;17,3789105167062;20,4713558165261
573116;136;58,83;239,97;234;28,35;1660;1580;9,96;14,01;16,14;12,77;67,63;82,47;29,0704844341526;9,55586646456715;11,925543002902;14,5391572061369;17,3936585250085;20,4863213107042
573116;121;34,21;281,35;215;28,42;1440;1420;9,7;11,57;13,06;10,6;45,59;55,6;25,94126097876;9,58432488178195;11,9566343136187;14,5722392129793;17,4280173818448;20,5211800377019
573116;123;53,78;286,49;218;28,58;1620;1500;12,49;16,53;17,76;18,72;114,32;139,4;30,4836008817251;9,64924824864706;12,027521289565;14,6476240734295;17,5062735009806;20,6005391803619
573116;170;57,37;234,66;281;28,78;1657,23;1795,33;10,09;14,72;15,88;14,73;83,66;101,4;28,6212447144784;9,73015869327402;12,1157808855413;14,7414050179331;17,6035523859402;20,699120769038
573116;146;179,33;318,77;249;29,37;1500;1480;10,25;13,78;15,42;12,48;64,16;78,23;27,9013183889849;9,96726313962968;12,3738992418472;15,0151752751877;17,8870700079461;20,9860065996104
573116;112;51,81;301,15;195;29,47;1458,92;1458,92;11,32;14,58;15,96;15,22;81,48;99,49;28,3840164639886;10,0072158763196;12,4173172220061;15,0611543637691;17,934619058239;21,0340586271603
573116;147;112,05;337,71;251;29,47;1660;1480;9,85;14,91;15,2;11,43;62,49;76,2;27,6380895534547;10,0072158763196;12,4173172220061;15,0611543637691;17,934619058239;21,0340586271603
573116;194;178,16;156,3;323;29,57;1505,99;1531,09;12,09;15,76;18,7;17,87;106,3;128,52;30,9049143679822;10,0471005866931;12,4606397704463;15,1070120291067;17,9820234984579;21,0819469548972
573116;124;37,17;83,55;219;29,7;1540;1600;11,75;15,49;17,36;18,04;105,92;129,15;29,615814300501;10,0988489821101;12,5168167196667;15,1664461420733;18,0434341319075;21,143958462803
573116;124;37,17;83,55;220;29,7;1560;1540;12,02;16,3;17,86;18,04;110,04;134,18;30,0808644440942;10,0988489821101;12,5168167196667;15,1664461420733;18,0434341319075;21,143958462803
573116;135;106,62;183,05;232;29,76;1640;1620;8,95;13,06;13,88;10,37;50,43;61,49;26,1668309163745;10,1226940631812;12,5426903669403;15,1938085437607;18,0716958263404;21,1724868590712
573116;134;176,33;206,91;231;30,35;1503,13;1481,02;13,52;18,57;19,72;21,64;152,03;181,04;31,4904521080502;10,3558653156626;12,7953016526125;15,4605805674772;18,3468863863431;21,4499530535884
573116;133;69,74;242,18;230;30,42;1746,28;1746,28;12,06;15,25;16,82;20,55;119,93;146,51;28,7907843909732;10,3833724426627;12,8250551653449;15,4919576836662;18,3792123717911;21,4825083710607
573116;119;83,76;304,7;211;30,49;1635,76;1635,76;10,76;14,56;15,23;15,1;80,84;96,28;27,2085748057536;10,4108462187254;12,8547628167059;15,5232772064529;18,4114704230453;21,5149873683288
573116;119;83,76;304,7;212;30,49;1724,18;1724,18;11,64;16,09;16,76;18,52;108,64;129,39;28,7030299758134;10,4108462187254;12,8547628167059;15,5232772064529;18,4114704230453;21,5149873683288
573116;139;34,57;251,59;239;30,72;1660;1600;10,56;14,58;15,92;14,39;81,54;99,58;27,7895139359999;10,5008824342929;12,9520516272267;15,6257804326411;18,5169854558608;21,6211701487168
573116;140;84,43;99,11;240;30,75;1480;1400;12,12;16,3;16,72;16,46;101,48;122,85;28,5521187556996;10,51259975682;12,9647051541218;15,6391049481467;18,5306947720623;21,6349600635886
