"parcela";"estrato";"talhao";"area";"distkm";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"cls";"mudou";"nmudou";"ncls";"s";"max_id";"vtcc2";"vtcc3";"vtcc4";"vtcc5";"vtcc6";"vtcc7";"vtcc8";"vtcc9";"vtcc10";"ima2";"ima3";"ima4";"ima5";"ima6";"ima7";"ima8";"ima9";"ima10";"ica3";"ica4";"ica5";"ica6";"ica7";"ica8";"ica9";"ica10"
1549;494631;992;171,98;199;62,19;1676,413618;1635,020689;14,94284731;24,29764923;25,95336638;27,35037773;254,3388512;289,4710996;28,24827849;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;2;0;0;2;29,13;62,19;61,6560941879088;147,039963062858;227,072777777839;294,715437583916;350,666889012353;397,024701958;435,772283568901;435,772283568901;496,453424391027;30,8280470939544;49,0133210209527;56,7681944444597;58,9430875167832;58,4444815020588;56,7178145654286;54,4715354461126;48,4191426187668;49,6453424391027;85,3838688749491;80,0328147149807;67,6426598060771;55,9514514284372;46,357812945647;38,7475816109008;0;60,6811408221263
1550;494631;992;171,98;199;62,19;1635,020689;1593,62776;14,67379327;21,80372527;23,42839772;25,43595477;210,4726949;239,5408792;26,08893236;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;3;0;1;3;26,72;62,19;59,4093591175915;133,922190971208;201,071901486133;256,596476485855;301,8910404172;339,061488216434;369,91304221074;369,91304221074;417,87779602401;29,7046795587957;44,6407303237361;50,2679753715332;51,319295297171;50,3151734028667;48,4373554594906;46,2391302763425;41,1014491345267;41,787779602401;74,5128318536168;67,1497105149243;55,5245749997222;45,2945639313451;37,1704477992344;30,8515539943058;0;47,9647538132693
1551;494631;992;171,98;199;62,19;1800,592404;1738,503011;14,08394404;20,37566922;22,64193207;25,91197345;203,3324147;231,4175169;25,4059265;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;4;0;1;3;26,72;62,19;62,7746098507253;138,93296866394;206,688332900379;262,314531749;307,486893629056;344,441415462643;375,043749967399;375,043749967399;422,508184748754;31,3873049253627;46,3109895546468;51,6720832250948;52,4629063498001;51,2478156048426;49,2059164946633;46,8804687459249;41,6715277741554;42,2508184748754;76,1583588132151;67,7553642364386;55,6261988486212;45,1723618800555;36,9545218335874;30,6023345047556;0;47,4644347813556
1552;494631;993;28,95;208,61;69,25;1531,538367;1510,841903;15,9673223;23,89406817;25,49804416;28,61286206;259,7716732;295,6593425;26,19213366;22,18065871;24,77613214;27,39013588;30,021126;32,66780415;3;0;1;3;26,72;69,25;73,9161240924325;154,920452953087;224,281547608296;280,029906797732;324,697040569619;360,90115270327;390,679590062181;390,679590062181;436,542126006262;36,9580620462162;51,6401509843622;56,0703869020739;56,0059813595463;54,1161734282698;51,5573075290386;48,8349487577727;43,4088433402424;43,6542126006262;81,004328860654;69,3610946552091;55,7483591894359;44,6671337718874;36,2041121336514;29,778437358911;0;45,8625359440802
1553;494631;993;28,95;208,61;69,25;1552,234831;1552,234831;14,44613216;21,82442173;22,93168258;24,03894342;198,8412819;226,3158384;23,72533451;22,18065871;24,77613214;27,39013588;30,021126;32,66780415;4;0;0;4;24,31;69,25;51,2807609155699;112,917613162287;167,558052470819;212,328099522975;248,638809850354;278,318054255537;302,880089884643;302,880089884643;340,950875383211;25,6403804577849;37,6392043874289;41,8895131177046;42,4656199045949;41,4398016417256;39,7597220365052;37,8600112355804;33,6533433205159;34,0950875383211;61,6368522467168;54,6404393085319;44,770047052156;36,3107103273791;29,679244405183;24,5620356291067;0;38,0707854985681
1554;494631;994;30,13;315,79;68,3;1490,145438;1490,145438;15,86383998;24,92889139;27,07097546;28,01266459;268,0813036;305,1072785;27,90580591;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;3;0;1;2;29,13;68,3;56,5483137914398;138,802669333856;217,46376241174;284,695331342846;340,703015217409;387,335357262763;426,452354757586;426,452354757586;487,940919932036;28,2741568957199;46,2675564446186;54,3659406029349;56,9390662685692;56,7838358695682;55,333622466109;53,3065443446983;47,3835949730651;48,7940919932036;82,2543555424159;78,6610930778839;67,2315689311062;56,0076838745632;46,6323420453541;39,1169974948232;0;61,4885651744498
1555;494631;994;30,13;315,79;68,3;1593,62776;1531,538367;14,97389201;18,93726494;24,02859519;26,34659921;202,8770925;230,9104535;25,03662826;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;4;0;2;3;26,72;68,3;57,4715076184923;130,99388646108;197,765370025727;253,215203206131;298,572266523544;335,864055311268;366,85891251558;366,85891251558;415,115395017593;28,7357538092461;43,6646288203601;49,4413425064317;50,6430406412263;49,7620444205907;47,9805793301811;45,8573640644475;40,76210139062;41,5115395017593;73,5223788425879;66,7714835646466;55,4498331804046;45,3570633174131;37,2917887877235;30,9948572043122;0;48,2564825020128
1556;494631;994;30,13;315,79;68,3;1448,752509;1407,359581;15,63617887;24,50461387;25,68431234;25,59117825;237,9575997;270,8339334;26,60189162;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;3;0;0;3;26,72;68,3;52,265977994717;122,959481084821;188,596440551902;243,779046477835;289,271043396083;326,875616269356;358,253710522402;358,253710522402;407,307247867457;26,1329889973585;40,9864936949404;47,1491101379756;48,7558092955669;48,2118405660139;46,696516609908;44,7817138153003;39,8059678358225;40,7307247867457;70,6935030901043;65,6369594670811;55,1826059259322;45,4919969182487;37,6045728732725;31,3780942530463;0;49,0535373450552
1557;494631;994;30,13;315,79;68,3;1614,324225;1572,931296;15,36712483;24,00789873;26,92610021;28,10579868;262,5243029;298,7948568;27,76986236;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;3;0;1;2;29,13;68,3;57,1642093047959;139,808694095518;218,6448077103;285,931604875719;341,935472954302;388,536029132965;427,608817678677;427,608817678677;488,999200355295;28,582104652398;46,6028980318393;54,6612019275751;57,1863209751438;56,9892454923836;55,505147018995;53,4511022098346;47,5120908531863;48,8999200355295;82,6444847907218;78,8361136147825;67,2867971654186;56,0038680785826;46,6005561786635;39,0727885457118;0;61,3903826766178
1558;494631;995;69,6;117,55;59,95;1635,020689;1614,324225;16,85727027;25,88092876;29,03713958;36,00149986;371,1600447;426,4609976;31,19161864;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;1;0;1;2;29,13;59,95;143,910175682971;258,729360006149;346,914793345725;413,665291410086;465,157390097694;505,816956160932;538,627444175784;538,627444175784;588,168293852976;71,9550878414857;86,2431200020497;86,7286983364313;82,7330582820171;77,526231682949;72,2595651658475;67,328430521973;59,8474937973094;58,8168293852976;114,819184323178;88,185433339576;66,7504980643604;51,4920986876087;40,6595660632381;32,810488014852;0;49,5408496771915
