estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
573116;209;78,57;302,94;347;48,65;1600;1580;13,58;18,15;20,66;24,03;172,03;201,36;26,84617931;14,33475989;17,14087508;20,17351226;23,42939403;26,90555273;2;0;0;2;27,62
573116;175;83,03;320,8;289;48,69;1632,34;1686,75;15,18;22,19;24,56;31,2;280,74;322,78;29,49041598;14,3495938;17,15524053;20,18680347;23,44097404;26,91475687;1;0;1;1;29,87
573116;149;137,81;172,21;255;48,75;1500;1540;12,54;20,03;22,82;19,69;152,07;177,99;28,32005337;14,37183604;17,17677506;20,20672321;23,45832562;26,9285458;2;0;0;2;27,62
573116;149;137,81;172,21;256;48,75;1580;1520;14,24;22,03;25,08;25,12;215,1;251,78;29,81901181;14,37183604;17,17677506;20,20672321;23,45832562;26,9285458;1;0;0;1;29,87
573116;151;132,21;325,1;258;48,75;1640;1720;11,47;18,34;20,88;18,33;129,07;151,07;26,97865455;14,37183604;17,17677506;20,20672321;23,45832562;26,9285458;2;0;0;2;27,62
573116;117;54,69;166,3;207;48,82;1580;1560;15,48;21,08;23,68;31,11;258,97;303,13;28,88473171;14,39777219;17,20187798;20,22993702;23,47854118;26,94460673;1;0;0;1;29,87
573116;117;54,69;166,3;208;48,82;1680;1660;14,13;21,19;23,29;26,7;215,4;252,12;28,62343237;14,39777219;17,20187798;20,22993702;23,47854118;26,94460673;2;0;1;2;27,62
573116;127;36,44;256,88;224;48,82;1620;1460;14,88;19,61;21,94;26,47;208,3;239,34;27,7032592;14,39777219;17,20187798;20,22993702;23,47854118;26,94460673;2;0;0;2;27,62
573116;210;155,01;302,46;348;48,82;1640;1620;13,15;20,1;22,98;22,81;177,05;207,23;28,41431655;14,39777219;17,20187798;20,22993702;23,47854118;26,94460673;2;0;0;2;27,62
573116;163;70,66;260,58;272;48,92;1681,43;1681,43;12,23;19,51;21,56;20,24;162,24;188,89;27,4176693;14,43479922;17,23770059;20,26305126;23,50736845;26,96750214;2;0;1;2;27,62
573116;177;177,04;56,71;291;49,01;1680,95;1793,02;12,87;20,27;22,8;24,3;191,9;224,62;28,25373032;14,46809866;17,26990194;20,29280549;23,53326065;26,98805908;2;0;1;2;27,62
573116;128;83,2;229,54;225;49,05;1620;1600;13,14;19,19;20,74;22,48;171,49;197,04;26,81040414;14,48289082;17,28420179;20,30601483;23,5447524;26,99718065;2;0;0;2;27,62
573116;118;132,82;172,17;209;49,11;1560;1480;15,88;20,56;23,88;30,94;251,03;293,83;28,96340245;14,50507026;17,30563787;20,3258118;23,56197172;27,01084591;1;0;1;1;29,87
573116;118;132,82;172,17;210;49,11;1520;1520;15,04;19,48;22,5;28,5;219,75;257,22;28,02786527;14,50507026;17,30563787;20,3258118;23,56197172;27,01084591;2;0;1;2;27,62
573116;129;91,96;347,04;226;49,15;1700;1640;13,66;20,54;22,96;25,08;207,13;238;28,33444058;14,51985067;17,31991944;20,33899843;23,57343907;27,01994469;2;0;1;1;29,87
573116;131;135,13;119,54;228;49,15;1440;1480;15,55;22,5;23,66;28,58;252,15;289,73;28,80824677;14,51985067;17,31991944;20,33899843;23,57343907;27,01994469;1;0;0;1;29,87
573116;150;36,9;147,66;257;49,15;1640;1620;13,37;19,78;22,02;23,06;172,66;202,11;27,68788613;14,51985067;17,31991944;20,33899843;23,57343907;27,01994469;2;0;0;2;27,62
