estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc
111111;5;111,04;125,4;8;55,81;1487,592061;1465,047535;14,30573069;20,54600666;22,61590212;23,77830647;206,1534306;245,1143693
111111;5;111,04;125,4;8;66,33;1487,592061;1465,047535;14,85634328;23,18690776;25,61368175;25,70545052;240,2812144;273,481114
111111;5;111,04;125,4;8;78,94;1487,592061;1465,047535;15,51911769;24,2065607;28,3055655;28,21379674;280,6492741;319,4164787
111111;5;111,04;125,4;9;41,56;1345,941875;1366,334934;14,17317581;19,35301272;22,45275765;21,59624918;156,5167257;185,9439094
111111;5;111,04;125,4;9;55,81;1345,941875;1366,334934;15,49872463;23,29906959;27,00040974;26,16429434;257,7376726;306,4464934
111111;5;111,04;125,4;9;66,33;1345,941875;1366,334934;16,12071292;24,80815593;29,61072126;28,57067527;288,6739427;328,5423725
111111;5;111,04;125,4;9;78,94;1345,941875;1366,334934;16,9466318;26,44979716;31,83356466;32,02729872;350,4547141;398,8678355
111111;5;111,04;125,4;10;41,56;1407,121052;1284,762699;13,78570769;19,29183355;21,26996024;18,87377584;137,2860713;162,5938572
111111;5;111,04;125,4;10;55,81;1407,121052;1284,762699;14,80536063;21,02524354;22,96258412;22,055093;192,6328327;229,0242459
111111;5;111,04;125,4;10;66,33;1407,121052;1264,369641;15,54970727;24,13518499;25,85839846;23,74771688;223,2632069;254,1077082
111111;5;111,04;125,4;10;78,94;1407,121052;1264,369641;16,19208862;25,43014422;28,6522475;25,93997069;262,2853247;298,5135935
111111;6;66,35;316,55;11;34,26;1651,837756;1611,051639;12,36839011;16,69171856;18,94515155;18,86357932;113,6709093;135,3793203
111111;6;66,35;316,55;11;48,55;1651,837756;1611,051639;13,59197364;20,96406436;22,53432988;22,88101188;177,5623623;207,8358579
111111;6;66,35;316,55;11;62,19;1651,837756;1611,051639;14,7237884;23,94145094;25,57289563;26,9494271;250,6102986;285,2275158
111111;6;66,35;316,55;12;34,26;1611,051639;1570,265521;11,57306082;15,93717539;16,62034286;16,01874762;91,13657942;108,542055
111111;6;66,35;316,55;12;48,55;1611,051639;1570,265521;13,12293329;18,90436543;20,82131295;20,60718584;143,2816306;167,7125149
111111;6;66,35;316,55;12;62,19;1611,051639;1570,265521;14,45867863;21,48408736;23,08494247;25,06306917;207,3872106;236,0292616
111111;6;66,35;316,55;13;48,55;1774,196109;1713,016932;12,58251723;17,38508256;19,72008778;20,90288519;135,7871815;158,9333031
111111;6;66,35;316,55;13;62,19;1774,196109;1713,016932;13,87747646;20,07696631;22,31000624;25,53210952;200,3516054;228,0249861
