estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
494631;1068;134,76;239,62;1690;57,69;1572,931296;1593,62776;16,44334098;24,48391741;28,12649515;33,34200418;323,7961858;372,0499926;30,86347768;18,36484918;21,32768462;24,42418361;27,64762384;30,99215678;1;0;1;2;29,125
494631;999;47,94;163,7;1567;58,11;1490,145438;1469,448974;12,95598673;18,1507993;19,53746241;18,32671924;125,8862448;144,6475898;23,88004371;18,51370715;21,46481518;24,54418149;27,74517148;31,06202133;4;0;2;4;24,305
494631;999;47,94;163,7;1568;58,11;1593,62776;1531,538367;14,95319554;22,49705682;24,29764923;25,58083002;219,9413274;252,7348753;27,80349238;18,51370715;21,46481518;24,54418149;27,74517148;31,06202133;3;0;1;2;29,125
494631;1002;74,92;232,62;1572;58,28;1572,931296;1614,324225;16,73309148;25,08411488;26,86401082;34,54239912;332,985416;382,6051895;29,78838833;18,57374895;21,52006235;24,59247523;27,78439212;31,09008655;2;0;1;2;29,125
494631;1002;74,92;232,62;1573;58,28;1614,324225;1614,324225;16,61926093;23,9665058;27,58838707;34,58379204;327,9768717;376,8515724;30,34905322;18,57374895;21,52006235;24,59247523;27,78439212;31,09008655;2;0;1;1;31,535
494631;1002;74,92;232,62;1574;58,28;1655,717154;1655,717154;15,53269655;24,49426564;26,34659921;29,96848048;279,7437613;321,4367889;29,38514188;18,57374895;21,52006235;24,59247523;27,78439212;31,09008655;2;0;0;2;29,125
494631;1003;81,36;246,49;1575;58,28;1676,413618;1552,234831;16,42264452;24,20451514;27,00888607;31,94499283;300,0883858;344,8030972;29,90087961;18,57374895;21,52006235;24,59247523;27,78439212;31,09008655;2;0;1;2;29,125
494631;998;45,11;235,85;1565;58,38;1738,503011;1738,503011;15,3567766;23,9665058;26,42938506;31,09643779;288,2500082;331,2055201;29,42995575;18,60901085;21,55249126;24,62080903;27,80739267;31,10653847;2;0;0;2;29,125
494631;998;45,11;235,85;1566;58,38;1676,413618;1697,110082;14,88075792;22,46601213;25,72570527;28,65425499;252,3726871;289,978163;28,87715836;18,60901085;21,55249126;24,62080903;27,80739267;31,10653847;2;0;0;2;29,125
494631;1048;58,29;274,24;1650;58,41;1564,166343;1538,088798;13,19399607;19,6305965;21,62780532;20,05487402;157,1379061;174,3987574;25,5545285;18,6195812;21,5622099;24,62929845;27,81428269;31,11146583;3;0;0;3;26,715
494631;1048;58,29;274,24;1651;58,41;1714,795211;1714,795211;13,29747839;20,58263387;21,524323;22,48670859;181,2078942;201,0971965;25,46848275;18,6195812;21,5622099;24,62929845;27,81428269;31,11146583;4;0;1;3;26,715
494631;1091;94,9;289,15;1725;58,51;1790,347655;1790,347655;14,95319554;24,61844443;26,14998279;29,83395346;290,2575652;330,1603486;29,18456239;18,65478828;21,59457198;24,65756086;27,83721565;31,12786305;2;0;0;2;29,125
494631;1091;94,9;289,15;1726;58,51;1780,289173;1839,636285;12,75937031;21,36909951;23,97685403;22,69367324;194,9813913;221,7833127;27,45272394;18,65478828;21,59457198;24,65756086;27,83721565;31,12786305;3;0;1;3;26,715
494631;1045;80,57;299,18;1641;58,71;1716,026651;1716,026651;13,97011348;22,93168258;27,44351182;25,28073129;230,2274702;266,2496665;30,15849518;18,72507564;21,65914195;24,71392129;27,8829261;31,16053181;2;0;0;2;29,125
494631;1045;80,57;299,18;1642;58,71;1857,51803;1857,51803;14,27021222;25,10481134;26,6984391;28,42659388;278,0673477;321,5713159;29,57577353;18,72507564;21,65914195;24,71392129;27,8829261;31,16053181;2;0;0;2;29,125
494631;1070;125,75;174,15;1692;59,1;1799,019473;1679,083462;16,91935966;25,16690073;28,79913024;36,97423369;379,7180327;418,6170376;31,14370074;18,861648;21,78446256;24,82319573;27,97146838;31,2237571;1;0;0;1;31,535
494631;1070;125,75;174,15;1693;59,1;1761,248426;1731,900839;16,577868;24,90819493;28,19893277;36,91214429;373,8712815;412,1804371;30,67743904;18,861648;21,78446256;24,82319573;27,97146838;31,2237571;1;0;1;2;29,125
494631;1004;107,83;237,36;1576;59,4;1593,62776;1572,931296;16,00871523;23,38700479;26,61565324;30,96191077;286,1286206;328,7633373;29,3741384;18,96626278;21,88033197;24,9066901;28,03904782;31,27196493;2;0;0;2;29,125
494631;1004;107,83;237,36;1577;59,4;1614,324225;1593,62776;16,17428694;24,45287271;27,9195305;32,40031505;312,6718362;359,2699259;30,40608691;18,96626278;21,88033197;24,9066901;28,03904782;31,27196493;2;0;1;2;29,125
494631;1004;107,83;237,36;1578;59,4;1655,717154;1717,806547;16,49508214;26,30520628;28,25067393;36,21881273;367,0517965;421,7422037;30,66601688;18,96626278;21,88033197;24,9066901;28,03904782;31,27196493;1;0;1;1;31,535
494631;1065;33,52;163,11;1683;59,43;1635,693324;1635,693324;15,14981195;25,71535704;26,52251915;27,82639641;278,926251;311,8543259;29,29388039;18,9767031;21,88989353;24,91501271;28,04578055;31,27676543;2;0;0;2;29,125
494631;1064;151,84;160,9;1682;59,46;1747,619804;1718,48953;14,36334631;24,64948912;26,02580401;26,4086886;257,2777492;287,6705072;28,89020835;18,98713957;21,89945048;24,92333044;28,05250871;31,28156225;2;0;0;2;29,125
494631;1046;164,74;123,21;1643;59,69;1808,87099;1808,87099;16,49508214;24,73227498;28,76808554;37,7193064;376,4686878;435,3708255;31,0226864;19,06702432;21,97256726;24,98693823;28,10393975;31,31821619;1;0;1;1;31,535
494631;1046;164,74;123,21;1644;59,69;1705,37832;1733,804914;14,7151862;27,88848581;29,10957721;28,18858454;302,592658;349,9358204;31,29016003;19,06702432;21,97256726;24,98693823;28,10393975;31,31821619;1;0;1;1;31,535
494631;1046;164,74;123,21;1645;59,69;1582,617241;1582,617241;14,88075792;25,51874063;27,55734237;26,47077799;264,0041001;305,3142431;30,06729593;19,06702432;21,97256726;24,98693823;28,10393975;31,31821619;2;0;0;2;29,125
494631;1072;98,96;149,36;1695;59,72;1673,567854;1310,965797;16,82622557;20,34462452;27,96092343;29,54420296;269,5714491;297,5013278;30,38165311;19,07742733;21,98208426;24,99521386;28,11062842;31,3229813;2;0;1;2;29,125
494631;1072;98,96;149,36;1696;59,72;1732,501037;1703,629469;16,50543037;22,38322627;27,68152116;36,58100086;352,8436737;389,0107452;30,16031397;19,07742733;21,98208426;24,99521386;28,11062842;31,3229813;2;0;1;2;29,125
494631;1072;98,96;149,36;1697;59,72;1760,855193;1702,16002;16,2881175;23,72849646;28,64390676;35,85662461;359,3320152;396,1406772;30,92019103;19,07742733;21,98208426;24,99521386;28,11062842;31,3229813;1;0;1;1;31,535
494631;1005;56,84;137,81;1579;59,76;1448,752509;1490,145438;16,44334098;23,70779999;26,63634971;31,27235774;294,21059;338,0457016;29,31889258;19,09129199;21,99476643;25,00624048;28,11953958;31,32932911;2;0;1;1;31,535
494631;1005;56,84;137,81;1580;59,76;1448,752509;1572,931296;15,97767053;23,72849646;27,25724364;31,98638576;309,1637855;355,2341153;29,81544411;19,09129199;21,99476643;25,00624048;28,11953958;31,32932911;2;0;1;1;31,535
494631;995;69,6;117,55;1558;59,95;1635,020689;1614,324225;16,85727027;25,88092876;29,03713958;36,00149986;371,1600447;426,4609976;31,19161864;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;1;0;1;2;29,125
494631;995;69,6;117,55;1559;59,95;1655,717154;1614,324225;16,01906346;24,06998812;27,11236839;32,18300217;305,9144406;351,4984035;29,6632703;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;2;0;0;2;29,125
494631;995;69,6;117,55;1560;59,95;1738,503011;1717,806547;15,31538367;25,53943709;27,67117293;30,47554386;298,9707768;343,5199164;30,10989001;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;2;0;0;2;29,125
494631;1044;169,55;128,54;1639;60,02;1739,982808;1739,982808;13,35956778;23,0351649;25,01167725;23,45944242;222,8698771;255,7255144;27,94587991;19,18124444;22,07700093;25,07770379;28,17726586;31,37043253;3;0;1;3;26,715
494631;1044;169,55;128,54;1640;60,02;1825,573037;1825,573037;14,95319554;24,08033635;26,10858987;30,7135532;302,6133545;347,2142353;28,8401498;19,18124444;22,07700093;25,07770379;28,17726586;31,37043253;2;0;0;2;29,125
494631;1069;105,67;227,41;1691;60,02;1584,43853;1531,621153;17,31259249;26,0878934;28,92330903;34,78040846;361,0498218;405,5989615;31,09056333;19,18124444;22,07700093;25,07770379;28,17726586;31,37043253;1;0;1;1;31,535
494631;1071;106,98;99,68;1694;60,12;1735,502024;1590,875131;17,38503011;27,14341309;28,87156787;36,57065263;393,3570028;433,6426707;31,0332855;19,21576394;22,10853752;25,10509304;28,19937795;31,38616917;1;0;0;1;31,535
494631;1073;90,04;92,63;1698;60,18;1659,65983;1659,65983;16,23637634;24,287301;27,55734237;33,69384407;337,7145582;372,3500914;29,97631371;19,2364549;22,12743494;25,12150089;28,2126212;31,39559194;2;0;0;2;29,125
494631;1073;90,04;92,63;1699;60,18;1628,356428;1574,07995;17,5402536;26,04650047;28,5611209;37,04667131;389,1452722;429,0066627;30,77720901;19,2364549;22,12743494;25,12150089;28,2126212;31,39559194;1;0;1;1;31,535
