"parcela";"estrato";"talhao";"area";"distkm";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"cls";"mudou";"nmudou";"ncls";"s";"max_id";"vtcc2";"vtcc3";"vtcc4";"vtcc5";"vtcc6";"vtcc7";"vtcc8";"vtcc9";"vtcc10";"ima2";"ima3";"ima4";"ima5";"ima6";"ima7";"ima8";"ima9";"ima10";"ica3";"ica4";"ica5";"ica6";"ica7";"ica8";"ica9";"ica10"
1549;494631;992;171,98;199;62,19;1676,413618;1635,020689;14,94284731;24,29764923;25,95336638;27,35037773;254,3388512;289,4710996;28,24827849;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;2;0;0;2;29,125;62,19;62,266433964716;147,823808848878;227,766362064372;295,213832869268;350,941543801469;397,078403507998;435,619568739011;468,164249906611;495,942057962361;31,133216982358;49,2746029496261;56,9415905160929;59,0427665738536;58,4902573002448;56,7254862154283;54,4524460923763;52,0182499896235;49,5942057962361;85,5573748841624;79,9425532154933;67,4474708048964;55,7277109322007;46,1368597065294;38,5411652310123;32,5446811676007;27,7778080557494
1550;494631;992;171,98;199;62,19;1635,020689;1593,62776;14,67379327;21,80372527;23,42839772;25,43595477;210,4726949;239,5408792;26,08893236;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;3;0;1;3;26,715;62,19;60,8784885712996;135,454808953262;202,050398479315;256,837764510811;301,387332359211;337,865343873486;368,093065697387;393,461143649648;415,008719060654;30,4392442856498;45,1516029844207;50,5125996198288;51,3675529021623;50,2312220598685;48,2664776962122;46,0116332121734;43,7179048499609;41,5008719060654;74,5763203819625;66,5955895260532;54,7873660314961;44,5495678483995;36,4780115142747;30,2277218239015;25,3680779522613;21,5475754110053
1551;494631;992;171,98;199;62,19;1800,592404;1738,503011;14,08394404;20,37566922;22,64193207;25,91197345;203,3324147;231,4175169;25,4059265;19,92054418;22,74989905;25,66013803;28,64603142;31,70309538;4;0;1;3;26,715;62,19;64,2866887491108;140,464278109511;207,62914180382;262,495437539433;306,909778816367;343,164888177549;373,14010971281;398,252952741213;419,554767157242;32,1433443745554;46,8214260365038;51,9072854509549;52,4990875078866;51,1516298027278;49,0235554539356;46,6425137141012;44,250328082357;41,9554767157242;76,1775893604006;67,1648636943083;54,8662957356131;44,4143412769338;36,2551093611827;29,9752215352602;25,1128430284033;21,3018144160291
1552;494631;993;28,95;208,61;69,25;1531,538367;1510,841903;15,9673223;23,89406817;25,49804416;28,61286206;259,7716732;295,6593425;26,19213366;22,18065871;24,77613214;27,39013588;30,021126;32,66780415;3;0;1;3;26,715;69,25;75,9158903045447;156,930363251544;225,628587834099;280,547506056851;324,400317396887;359,860965247006;388,977824520733;413,243502621065;433,741509574034;37,9579451522724;52,3101210838482;56,4071469585248;56,1095012113703;54,0667195661479;51,4087093210009;48,6222280650916;45,9159447356739;43,3741509574034;81,0144729469997;68,6982245825548;54,9189182227523;43,852811340036;35,4606478501188;29,1168592737263;24,2656781003327;20,4980069529688
1553;494631;993;28,95;208,61;69,25;1552,234831;1552,234831;14,44613216;21,82442173;22,93168258;24,03894342;198,8412819;226,3158384;23,72533451;22,18065871;24,77613214;27,39013588;30,021126;32,66780415;4;0;0;4;24,305;69,25;53,7799066274202;115,547571243905;169,367941808962;213,046028715164;248,257054681424;276,917422808139;300,563883138822;320,342965086654;337,0993457017;26,8899533137101;38,5158570813017;42,3419854522404;42,6092057430329;41,3761757802373;39,5596318297341;37,5704853923528;35,593662787406;33,70993457017;61,767664616485;53,8203705650565;43,6780869062026;35,2110259662593;28,6603681267152;23,6464603306833;19,7790819478323;16,7563806150454
1554;494631;994;30,13;315,79;68,3;1490,145438;1490,145438;15,86383998;24,92889139;27,07097546;28,01266459;268,0813036;305,1072785;27,90580591;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;3;0;1;2;29,125;68,3;57,2450379803082;139,765599169103;218,389378343223;285,450129849781;341,242200202888;387,652940341664;426,558248198406;459,4979177964;487,671876001786;28,6225189901541;46,5885330563675;54,5973445858058;57,0900259699563;56,8737000338146;55,3789914773805;53,3197810248008;51,0553241996;48,7671876001786;82,5205611887943;78,6237791741208;67,060751506558;55,7920703531063;46,410740138776;38,9053078567424;32,9396695979941;28,1739582053863
1555;494631;994;30,13;315,79;68,3;1593,62776;1531,538367;14,97389201;18,93726494;24,02859519;26,34659921;202,8770925;230,9104535;25,03662826;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;4;0;2;3;26,715;68,3;59,1576036417156;132,889979922417;199,174193404303;253,908690600744;298,520319902334;335,108593063264;365,463756572337;390,961914329487;412,635476008976;29,5788018208578;44,296659974139;49,7935483510758;50,7817381201488;49,7533866503891;47,8726561518949;45,6829695715421;43,4402127032763;41,2635476008976;73,7323762807015;66,2842134818861;54,7344971964409;44,6116293015903;36,58827316093;30,3551635090722;25,4981577571504;21,673561679489
1556;494631;994;30,13;315,79;68,3;1448,752509;1407,359581;15,63617887;24,50461387;25,68431234;25,59117825;237,9575997;270,8339334;26,60189162;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;3;0;0;3;26,715;68,3;53,8574381840665;124,82904502651;190,042452461659;244,552222012967;289,324761957217;326,240936712269;356,987569150478;382,891380639597;404,961360668215;26,9287190920333;41,6096816755035;47,5106131154148;48,9104444025935;48,2207936595362;46,6058481017527;44,6234461438098;42,543486737733;40,4961360668215;70,9716068424439;65,2134074351486;54,5097695513082;44,7725399442502;36,9161747550518;30,7466324382088;25,9038114891194;22,0699800286173
1557;494631;994;30,13;315,79;68,3;1614,324225;1572,931296;15,36712483;24,00789873;26,92610021;28,10579868;262,5243029;298,7948568;27,76986236;21,8896414;24,51770667;27,17139917;29,84864196;32,54768427;3;0;1;2;29,125;68,3;57,8613978309787;140,767048989739;219,561934590472;286,675563111872;342,462554035816;388,840918696646;427,701833982514;460,592773294586;488,717539090361;28,9306989154894;46,9223496632462;54,890483647618;57,3351126223744;57,0770923393026;55,5487026709494;53,4627292478143;51,1769748105096;48,8717539090361;82,9056511587598;78,7948856007334;67,1136285214002;55,7869909239437;46,3783646608302;38,8609152858683;32,890939312072;28,1247657957751
1558;494631;995;69,6;117,55;59,95;1635,020689;1614,324225;16,85727027;25,88092876;29,03713958;36,00149986;371,1600447;426,4609976;31,19161864;19,15705512;22,05489489;25,05849939;28,16175759;31,359393;1;0;1;2;29,125;59,95;143,866909445669;258,35428450305;346,212740112261;412,685748520534;463,949191501118;504,420269642649;537,073978059188;563,925855310613;586,3707846177;71,9334547228347;86,11809483435;86,5531850280652;82,5371497041067;77,3248652501863;72,0600385203784;67,1342472573985;62,6584283678459;58,63707846177;114,48737505738;87,858455609211;66,4730084082728;51,2634429805842;40,4710781415311;32,653708416539;26,8518772514253;22,444929307087
