"estrato";"talhao";"area";"distkm";"parcela";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1"
494631;1009;129,94;263,22;1585;18,96;1738,503011;1759,199476;7,6783883;10,01708878;11,65210947;7,802567086;28,28171863;34,48030972;30,3532011689523;3,43231801932933;5,36831023229761;8,00940450938023;11,5023781147835;16,0062097636716
494631;1006;46,64;98,68;1581;19,12;1572,931296;1531,538367;7,999183498;11,24852841;12,2730034;7,357593101;29,77186407;36,31194682;30,6858032818822;3,50552286028414;5,4623228451392;8,12242868575335;11,6294169914403;16,1383066429362
494631;1007;116,75;98,65;1583;19,35;1676,413618;1655,717154;7,833611783;10,46206276;11,56932361;7,647343603;28,86121963;35,19433775;30,0825702768941;3,61128990384256;5,59754148531221;8,28433687868537;11,8107382447703;16,3262199549058
494631;1008;161,01;114,95;1584;19,45;1759,199476;1697,110082;9,147837273;13,34921955;14,36334631;10,58624155;50,64424843;61,75824983;31,8350561200333;3,65746324763804;5,65635100873727;8,35451815472502;11,8890958330706;16,407201168538
494631;1010;73,6;50,51;1586;19,45;1490,145438;1531,538367;9,572114794;13,05946905;13,86663116;10,35858044;47,97440452;58,49855668;31,5338237990724;3,65746324763804;5,65635100873727;8,35451815472502;11,8890958330706;16,407201168538
494631;1011;51,18;104,71;1587;19,45;1510,841903;1510,841903;8,371719858;10,80355443;12,43857512;7,885352944;30,72390143;37,4606006;30,6214669222564;3,65746324763804;5,65635100873727;8,35451815472502;11,8890958330706;16,407201168538
494631;1067;57,08;271,91;1687;20,5;1620,502119;1620,502119;9,199578434;10,88634028;11,51758245;10,16196403;39,44746118;48,10893154;29,4236102268373;4,14825016131811;6,27368311429508;9,08305227599044;12,6943655615715;17,2318458062359
494631;1087;54,5;314,07;1718;20,5;1407,359581;1407,359581;8,247541071;10,88634028;11,79698472;7,150628457;28,2713704;35,339213;29,6251002103967;4,14825016131811;6,27368311429508;9,08305227599044;12,6943655615715;17,2318458062359
494631;1068;134,76;239,62;1688;20,66;1692,722432;1669,842491;10,04813348;12,05569052;13,86663116;12,50066451;52,39309968;65,29734524;30,9428947317322;4,22386323992277;6,36760538463222;9,19265104347545;12,8142762381745;17,3534981433249
494631;1068;134,76;239,62;1689;20,66;1441,094818;1418,225224;10,51380393;13,05946905;13,7838453;11,76594002;53,22095825;65,91823918;30,8897732056819;4,22386323992277;6,36760538463222;9,19265104347545;12,8142762381745;17,3534981433249
494631;1066;44,42;327,86;1684;20,76;1715,178096;1658,004113;9,851517064;11,99360113;12,98703142;11,86942234;50,59250727;61,6858122;30,3162640261534;4,27121575819303;6,42627198190571;9,26095132310156;12,8888463708462;17,4290068186662
494631;1066;44,42;327,86;1685;20,76;1624,993252;1516,657609;10,04813348;10,45171453;11,71419886;11,3727072;42,73819903;52,11369741;29,4278901481024;4,27121575819303;6,42627198190571;9,26095132310156;12,8888463708462;17,4290068186662
494631;1066;44,42;327,86;1686;20,76;1676,734413;1676,734413;9,996392315;10,65867918;11,51758245;12,38683395;46,91888484;57,21537589;29,284614553587;4,27121575819303;6,42627198190571;9,26095132310156;12,8888463708462;17,4290068186662
494631;995;69,6;117,55;1558;21,81;1635,020689;1614,324225;10,28614282;13,18364784;14,59100742;12,81111148;60,57855136;74,67284363;30,8639443647543;4,77208749922862;7,04003871106189;9,96853670214699;13,6545853330172;18,1981628757187
494631;995;69,6;117,55;1559;21,81;1655,717154;1614,324225;9,685945348;12,45927158;13,94941702;11,4037519;51,2754906;63,46570814;30,4463826334889;4,77208749922862;7,04003871106189;9,96853670214699;13,6545853330172;18,1981628757187
494631;996;135,05;291,16;1561;22,08;1614,324225;1572,931296;10,74146503;13,00772789;14,61170388;13,67001475;63,20700234;78,13950142;30,7531694032495;4,90175158475246;7,19702483877472;10,1475735994843;13,8464473021894;18,3891614293822
494631;1047;151,21;193,7;1646;22,17;1662,816041;1524,242863;10,1516158;14,36334631;14,75657913;11,6935024;60,87865009;74,34170019;30,805380555123;4,94503357627257;7,24926223500766;10,2069807998556;13,9099479221106;18,4522292295026
494631;1047;151,21;193,7;1647;22,17;1661,429378;1522,980379;9,954999386;12,94563849;14,23916752;11,18643902;51,39966939;63,50710107;30,4686725747359;4,94503357627257;7,24926223500766;10,2069807998556;13,9099479221106;18,4522292295026
494631;1047;151,21;193,7;1648;22,17;1555,660096;1581,582418;9,768731206;13,29747839;14,57031095;11,23818018;54,49379082;66,96341063;30,6851211146163;4,94503357627257;7,24926223500766;10,2069807998556;13,9099479221106;18,4522292295026
494631;1047;151,21;193,7;1649;22,17;1687,258565;1574,773281;10,01708878;15,01528494;16,03975993;11,90046704;66,62191897;80,80934533;31,6065366518797;4,94503357627257;7,24926223500766;10,2069807998556;13,9099479221106;18,4522292295026
